Instrument Name,SDS1204X-E
Serial Number,SDSMMEBD3R7742
Software Version,8.1.6.1.26
Awg Type,LAN
Awg IP Address,192.168.1.51
Awg Amplitude,1.76483269V
Awg Offset,0V
Awg Amplitude reference level,1V
Awg Load,50ohm
Awg Amplitude Unit,Vrms
DUT Input Source,CH4
DUT Output Source1,CH3
DUT Output Source2,None
DUT Output Source3,None
Sweep Mode,Linear
Start Frequency,10125000Hz
Stop Frequency,16875000Hz
Sweep Resolution,High
Amplitude Mode,Vout
Amplitude Unit,Vpp
Amplitude Axis Range,6V,10V
Phase Unit,Degree
Phase Axis Range,30Deg,190Deg
Bode Data
Number of Points,501
Frequency(Hz),CH3 Amplitude(V),CH3 Phase(Deg)
10125000,6.32,166.935484
10138500,6.24,161.871821
10152000,6.32,163.204868
10165500,6.32,163.902439
10179000,6.4,165.257836
10192500,6.32,163.869654
10206000,6.32,166.040816
10219500,6.24,166.605505
10233000,6.32,161.033058
10246500,6.4,167.313585
10260000,6.4,165.731707
10273500,6.4,158.878505
10287000,6.4,161.981424
10300500,6.4,166.838311
10314000,6.32,164.275437
10327500,6.4,164.891192
10341000,6.4,162.65285
10354500,6.4,165.510836
10368000,6.48,162.279793
10381500,6.48,164.17787
10395000,6.4,162.821577
10408500,6.48,163.329865
10422000,6.48,161.548117
10435500,6.56,166.811146
10449000,6.4,163.083421
10462500,6.48,163.67049
10476000,6.64,161.418144
10489500,6.56,161.678909
10503000,6.48,157.901364
10516500,6.56,161.831426
10530000,6.56,164.356021
10543500,6.56,160.680128
10557000,6.72,163.428571
10570500,6.56,161.904762
10584000,6.8,160.761905
10597500,6.64,160.89172
10611000,6.64,161.102863
10624500,6.72,163.949045
10638000,6.64,160.468085
10651500,6.64,157.765843
10665000,6.72,165.127119
10678500,6.72,162.076271
10692000,6.72,163.987138
10705500,6.8,159.141631
10719000,6.8,160.941176
10732500,6.8,161.71123
10746000,6.8,161.498929
10759500,6.8,158.800857
10773000,6.8,153.107961
10786500,6.88,154.173913
10800000,6.88,165.016216
10813500,6.88,158.228942
10827000,6.88,157.963164
10840500,6.72,159.223301
10854000,6.88,159.956757
10867500,6.88,156.590164
10881000,6.8,156.882547
10894500,6.96,164.560261
10908000,6.96,157.699115
10921500,6.96,156.882547
10935000,6.88,157.127072
10948500,6.96,160.657895
10962000,6.96,162.214984
10975500,7.04,161.624588
10989000,7.04,160.826087
11002500,6.96,160.349345
11016000,7.04,159.735099
11029500,7.04,162.593407
11043000,7.12,159.690265
11056500,6.96,160.784314
11070000,7.04,157.725753
11083500,7.04,158.8
11097000,7.12,157.623762
11110500,7.12,156.521739
11124000,7.04,157.824639
11137500,7.12,158.929766
11151000,7.12,155.784753
11164500,7.2,159.422863
11178000,7.2,160.707182
11191500,7.12,156.013438
11205000,7.28,157.575758
11218500,7.28,158.206278
11232000,7.12,157.297297
11245500,7.2,160.226501
11259000,7.12,153.939394
11272500,7.2,156.912599
11286000,7.36,154.864865
11299500,7.28,156.14949
11313000,7.36,161.774744
11326500,7.28,156.715411
11340000,7.36,153.703284
11353500,7.36,159.68073
11367000,7.36,157.038724
11380500,7.36,154.751131
11394000,7.36,154.285714
11407500,7.36,155.454545
11421000,7.36,158.581236
11434500,7.36,151.405714
11448000,7.44,151.622555
11461500,7.36,155.765247
11475000,7.52,155.294118
11488500,7.44,159.583333
11502000,7.44,152.916667
11515500,7.44,153.874286
11529000,7.44,161.237113
11542500,7.52,154.10817
11556000,7.52,155.165336
11569500,7.6,154.878893
11583000,7.6,152.25956
11596500,7.6,154.883721
11610000,7.6,153.156069
11623500,7.6,151.953488
11637000,7.68,153.622509
11650500,7.6,153.986014
11664000,7.6,150.385064
11677500,7.68,153.627907
11691000,7.68,154.70726
11704500,7.68,152.340094
11718000,7.68,153.317647
11731500,7.76,152.957746
11745000,7.76,151.981132
11758500,7.76,150.491803
11772000,7.76,151.556604
11785500,7.76,153.880126
11799000,7.68,153.579278
11812500,7.84,154.487079
11826000,7.76,149.952756
11839500,7.92,152.537549
11853000,7.76,153.857143
11866500,7.84,149.382911
11880000,7.92,153.779528
11893500,7.92,154.714286
11907000,7.92,156.69579
11920500,7.92,149.310071
11934000,8,153.035857
11947500,7.92,148.057554
11961000,8,151.41261
11974500,7.92,149.236884
11988000,8.08,152.440191
12001500,7.92,152.374101
12015000,8.08,150.048
12028500,8.08,154.947707
12042000,8,143.221154
12055500,8.08,152.274194
12069000,8.08,150.121457
12082500,8.08,155.262732
12096000,8.16,149.130435
12109500,8.16,154.59854
12123000,8.08,150.168946
12136500,8.16,152.542373
12150000,8.24,148.37247
12163500,8.24,147.060729
12177000,8.24,152.780488
12190500,8.24,149.878148
12204000,8.24,150.656934
12217500,8.24,148.868852
12231000,8.24,150.513447
12244500,8.4,147.888707
12258000,8.4,147.794118
12271500,8.32,147.540984
12285000,8.24,147.80968
12298500,8.24,148.078818
12312000,8.4,146.620066
12325500,8.32,146.480722
12339000,8.4,145.601318
12352500,8.32,145.242399
12366000,8.32,146.046129
12379500,8.48,147.38056
12393000,8.48,146.063123
12406500,8.48,143.015742
12420000,8.32,142.574257
12433500,8.48,138.622407
12447000,8.48,146.677686
12460500,8.4,143.19202
12474000,8.4,148.5
12487500,8.48,142.830974
12501000,8.56,143.1
12514500,8.48,138.15
12528000,8.56,145.807531
12541500,8.64,147.953411
12555000,8.56,141.020067
12568500,8.56,144.090528
12582000,8.64,144.723618
12595500,8.64,148.261965
12609000,8.64,144.54776
12622500,8.64,146.165414
12636000,8.72,143.909014
12649500,8.72,145.925297
12663000,8.64,143.268417
12676500,8.64,144.457627
12690000,8.64,143.631714
12703500,8.8,144.825828
12717000,8.8,144.915254
12730500,8.72,140.782979
12744000,8.8,141.774601
12757500,8.88,140.682594
12771000,8.8,142.101201
12784500,8.72,132.173175
12798000,8.8,136.956522
12811500,8.8,140.480274
12825000,8.8,139.86383
12838500,8.88,144.829352
12852000,8.8,134.769231
12865500,8.88,139.742931
12879000,8.88,141.030928
12892500,8.88,135.193133
12906000,8.88,142.415876
12919500,8.96,136.905791
12933000,8.96,136.551724
12946500,9.04,139.601386
12960000,8.96,140.362694
12973500,9.04,137.34375
12987000,8.88,135.195143
13000500,8.88,139.6875
13014000,9.04,139.515571
13027500,9.04,138.172324
13041000,8.96,145.3125
13054500,9.12,135.982533
13068000,9.2,143.103147
13081500,9.04,133.669565
13095000,9.12,132.209607
13108500,9.12,139.304348
13122000,9.04,129.929577
13135500,9.12,133.700787
13149000,9.12,124.663755
13162500,9.12,138.010563
13176000,9.2,137.165775
13189500,9.12,134.4
13203000,9.04,134.406332
13216500,9.2,137.029178
13230000,9.2,132.180053
13243500,9.2,132.357581
13257000,9.28,135.39823
13270500,9.04,131.575221
13284000,9.28,136.584507
13297500,9.28,131.851196
13311000,9.36,132.555654
13324500,9.28,130.5
13338000,9.28,128.571429
13351500,9.28,132.807795
13365000,9.2,126.160714
13378500,9.36,132.315227
13392000,9.28,130.572451
13405500,9.36,131.055456
13419000,9.36,131.929982
13432500,9.36,133.470483
13446000,9.28,124.143498
13459500,9.36,126.972973
13473000,9.36,129.470852
13486500,9.44,127.392086
13500000,9.52,124.540541
13513500,9.52,127.594937
13527000,9.36,125.853659
13540500,9.36,125.724572
13554000,9.52,126.195652
13567500,9.36,119.401089
13581000,9.6,122.831216
13594500,9.44,125.06812
13608000,9.44,121.201092
13621500,9.52,119.182561
13635000,9.52,124.30127
13648500,9.52,126.049046
13662000,9.52,120.491803
13675500,9.6,122.30137
13689000,9.44,122.95082
13702500,9.52,122.025547
13716000,9.44,121.909091
13729500,9.68,126.231618
13743000,9.52,118.460128
13756500,9.52,121.619396
13770000,9.52,126.672744
13783500,9.68,123.035879
13797000,9.6,129.137615
13810500,9.68,124.281742
13824000,9.6,123.966942
13837500,9.6,118.342541
13851000,9.6,120.556586
13864500,9.52,120.443623
13878000,9.6,119.168975
13891500,9.52,120.222017
13905000,9.52,113.860465
13918500,9.6,117.478992
13932000,9.68,117.724329
13945500,9.6,119.107807
13959000,9.68,117.478992
13972500,9.68,120.721554
13986000,9.52,118.937558
13999500,9.6,119.325843
14013000,9.76,117.252336
14026500,9.6,117.983193
14040000,9.6,119.43609
14053500,9.68,118.208955
14067000,9.68,119.162011
14080500,9.68,115.509822
14094000,9.68,120.561272
14107500,9.68,116.390977
14121000,9.68,118.193791
14134500,9.68,116.410256
14148000,9.6,112.777251
14161500,9.68,112.798861
14175000,9.68,114.522233
14188500,9.68,110.690634
14202000,9.6,108.444023
14215500,9.68,109.74359
14229000,9.68,111.558935
14242500,9.6,112.907531
14256000,9.68,112.542694
14269500,9.6,114.499055
14283000,9.52,112.607041
14296500,9.6,111.085714
14310000,9.52,108
14323500,9.6,109.883721
14337000,9.52,111.6
14350500,9.68,108.62069
14364000,9.68,106.411765
14377500,9.6,108.26087
14391000,9.68,109.121813
14404500,9.84,106.647399
14418000,9.6,105.48105
